-1.30 	  3.88 	 0.00 	 -0.02 	  0.15 	-0.78 	  2.32 	-0.04 	  0.11
-23.47 	  7.00 	 0.00 	 -0.07 	  0.84 	-14.39 	  5.11 	-3.63 	  1.12
-20.70 	  3.31 	 0.07 	 -0.16 	  0.35 	-18.15 	  3.99 	-7.53 	  1.55
 0.25 	  5.01 	 0.11 	 -0.16 	  0.33 	-7.09 	  4.60 	-5.36 	  2.51
-52.69 	  5.68 	 0.08 	 -0.14 	  0.37 	-34.46 	  5.26 	-19.47 	  3.47
-12.58 	  1.28 	 0.00 	 -0.14 	 -0.38 	-21.37 	  2.87 	-17.40 	  2.79
-2.54 	  5.33 	-0.00 	 -0.21 	 -1.22 	-10.07 	  4.32 	-12.74 	  3.54
38.54 	  2.67 	 0.02 	 -0.22 	 -2.64 	19.10 	  3.33 	 3.49 	  3.26
26.86 	 10.54 	 0.02 	 -0.22 	 -2.64 	23.76 	  7.66 	10.91 	  5.57
28.52 	  7.80 	 0.03 	 -0.22 	 -2.61 	26.62 	  7.74 	16.52 	  6.28
17.66 	  9.17 	 0.09 	 -0.36 	 -1.92 	21.27 	  8.54 	16.94 	  7.11
-1.98 	  0.50 	 0.09 	 -0.47 	 -1.98 	 7.32 	  3.67 	10.76 	  4.87
-15.71 	  2.81 	 0.09 	 -0.52 	 -1.29 	-6.50 	  3.14 	 2.22 	  4.18
-26.57 	  4.47 	 0.09 	 -0.67 	 -1.25 	-18.54 	  3.88 	-7.01 	  4.17
-3.26 	  1.76 	 0.12 	 -0.68 	 -1.32 	-9.36 	  2.60 	-5.81 	  3.39
-30.32 	  5.10 	 0.18 	 -0.68 	 -1.25 	-21.91 	  4.10 	-13.60 	  3.93
-14.93 	  3.56 	 0.12 	 -0.64 	 -1.50 	-17.75 	  3.79 	-14.08 	  3.85
-11.21 	  4.28 	 0.07 	 -0.62 	 -1.55 	-13.85 	  4.10 	-13.22 	  4.00
10.37 	  9.63 	 0.06 	 -0.62 	 -2.54 	 0.68 	  7.42 	-5.71 	  5.80
36.28 	  2.89 	 0.04 	 -0.63 	 -2.87 	22.03 	  4.70 	 7.67 	  4.86
15.38 	  7.46 	 0.06 	 -0.63 	 -2.81 	18.05 	  6.36 	10.17 	  5.69
42.36 	 12.90 	 0.06 	 -0.65 	 -3.37 	32.64 	 10.28 	20.47 	  7.99
24.15 	  1.54 	 0.09 	 -0.68 	 -2.66 	27.56 	  5.02 	21.70 	  5.91
 3.83 	 -0.51 	 0.11 	 -0.74 	 -2.62 	13.33 	  1.68 	16.04 	  3.82
-24.03 	  3.61 	 0.17 	 -0.80 	 -1.94 	-9.06 	  2.81 	 3.31 	  3.71
-30.10 	  7.31 	 0.20 	 -0.87 	 -1.87 	-21.68 	  5.48 	-7.36 	  4.82
-5.86 	  6.10 	 0.12 	 -0.82 	 -2.08 	-12.22 	  5.87 	-6.96 	  5.26
-41.20 	  4.48 	 0.12 	 -0.90 	 -2.37 	-29.61 	  5.00 	-17.93 	  4.96
-16.27 	  9.02 	 0.12 	 -0.88 	 -2.95 	-21.61 	  7.42 	-17.45 	  6.27
-11.26 	  9.54 	 0.14 	 -0.88 	 -3.50 	-15.39 	  8.70 	-15.49 	  7.33
10.95 	  9.42 	 0.14 	 -0.89 	 -5.44 	 0.42 	  9.13 	-7.07 	  8.00
